p,fid
[1. 0. 0. 0.],0.323733181827345
[0.97 0.01 0.01 0.01],0.3204294906178845
[0.94 0.02 0.02 0.02],0.34160602428135123
[0.91 0.03 0.03 0.03],0.3802567372521082
[0.88 0.04 0.04 0.04],0.3719716274674001
[0.85 0.05 0.05 0.05],0.3849037320067581
[0.82 0.06 0.06 0.06],0.39777120420698897
[0.79 0.07 0.07 0.07],0.3915151485130719
[0.76 0.08 0.08 0.08],0.4168893915145515
[0.73 0.09 0.09 0.09],0.4024611567292762
[0.7 0.1 0.1 0.1],0.3910793803326551
[0.67 0.11 0.11 0.11],0.4160699529490116
[0.64 0.12 0.12 0.12],0.4286155799845356
[0.61 0.13 0.13 0.13],0.3982763975388848
[0.58 0.14 0.14 0.14],0.384400941768244
[0.55 0.15 0.15 0.15],0.38249074341781075
[0.52 0.16 0.16 0.16],0.3983961702087959
[0.49 0.17 0.17 0.17],0.39220481295674336
[0.46 0.18 0.18 0.18],0.39544415914537157
[0.43 0.19 0.19 0.19],0.40234109557908515
[0.4 0.2 0.2 0.2],0.41677721923117905
[0.37 0.21 0.21 0.21],0.356956330701904
[0.34 0.22 0.22 0.22],0.37657043252485145
[0.31 0.23 0.23 0.23],0.3734922737105836
[0.28 0.24 0.24 0.24],0.38836961310972284
[0.25 0.25 0.25 0.25],0.39487828100223454